"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","04214","宮城県 東松島市","","39,098","","14,476","","2,307","","162,038","","X","","20,481","","19,845","","X","","X","","6,216","","61,443","","16,402","","4,028","","691","","2,630","","8,631","","552","","12,750","","4,379","","3,969","","0.46","","11,650,699","","2",""
"2020100000","2020年度","04215","宮城県 大崎市","","127,330","","48,893","","6,923","","1,079,276","","198","","87,472","","327,277","","95,446","","3,610","","31,867","","320,735","","69,663","","18,034","","9,291","","17,779","","20,890","","4,321","","44,944","","4,407","","23,342","","0.50","","36,233,183","","15",""
"2020100000","2020年度","04216","宮城県 富谷市","","51,651","","18,401","","X","","X","","X","","35,924","","29,413","","X","","69","","23,807","","128,472","","4,928","","5,351","","1,277","","4,058","","5,076","","1,859","","13,745","","436","","4,304","","0.83","","8,256,620","","3",""
"2020100000","2020年度","04301","宮城県 蔵王町","","11,418","","3,924","","2,175","","104,983","","X","","8,306","","57,223","","-","","-","","1,442","","23,812","","2,255","","1,977","","58","","3,142","","521","","X","","2,875","","1,066","","1,609","","0.48","","3,964,139","","1",""
"2020100000","2020年度","04302","宮城県 七ヶ宿町","","1,262","","524","","581","","3,343","","0","","351","","1,444","","-","","-","","222","","631","","X","","X","","70","","105","","16","","X","","311","","86","","40","","0.33","","1,646,720","","0",""
"2020100000","2020年度","04321","宮城県 大河原町","","23,571","","9,524","","2,723","","157,861","","0","","14,093","","28,080","","-","","232","","2,505","","62,657","","23,783","","2,306","","1,180","","3,005","","4,636","","517","","7,117","","1,627","","6,122","","0.64","","4,815,005","","1",""
"2020100000","2020年度","04322","宮城県 村田町","","10,666","","3,770","","97","","77,950","","0","","5,523","","37,484","","-","","X","","6,760","","18,594","","557","","1,598","","121","","838","","1,446","","X","","2,513","","427","","2,071","","0.43","","3,470,185","","0",""
"2020100000","2020年度","04323","宮城県 柴田町","","38,271","","15,546","","283","","267,268","","0","","15,950","","151,467","","X","","-","","5,033","","58,640","","3,515","","1,272","","5,120","","1,698","","9,768","","X","","7,680","","851","","2,217","","0.63","","7,296,886","","2",""
"2020100000","2020年度","04324","宮城県 川崎町","","8,345","","2,967","","1,043","","31,898","","X","","4,084","","14,866","","X","","-","","722","","4,339","","417","","1,137","","47","","835","","960","","X","","3,152","","481","","557","","0.33","","3,448,251","","2",""
"2020100000","2020年度","04341","宮城県 丸森町","","12,262","","4,426","","1,409","","52,241","","X","","7,554","","25,774","","921","","-","","467","","11,247","","X","","X","","115","","300","","295","","251","","2,899","","817","","688","","0.30","","5,974,337","","1",""
"2020100000","2020年度","04361","宮城県 亘理町","","33,087","","12,181","","1,041","","156,060","","1,750","","16,281","","64,906","","X","","97","","7,096","","40,830","","2,972","","2,961","","2,332","","1,470","","3,204","","X","","7,272","","1,356","","3,288","","0.60","","7,188,925","","0",""
"2020100000","2020年度","04362","宮城県 山元町","","12,046","","4,541","","1,608","","45,547","","X","","5,472","","16,402","","-","","-","","600","","11,472","","X","","827","","1,041","","664","","302","","154","","6,450","","394","","1,352","","0.40","","4,354,592","","1",""
"2020100000","2020年度","04401","宮城県 松島町","","13,323","","5,017","","207","","38,782","","0","","4,547","","2,848","","X","","X","","5,682","","9,645","","2,569","","199","","56","","6,797","","1,078","","164","","3,780","","403","","884","","0.46","","4,193,737","","1",""
"2020100000","2020年度","04404","宮城県 七ヶ浜町","","18,132","","6,462","","138","","40,946","","0","","7,857","","2,526","","X","","X","","3,419","","10,058","","599","","814","","322","","224","","405","","324","","1,938","","2,288","","8,352","","0.57","","4,327,881","","0",""
"2020100000","2020年度","04406","宮城県 利府町","","35,182","","12,538","","0","","291,073","","X","","25,530","","42,692","","-","","X","","17,189","","86,204","","3,470","","2,216","","807","","64,438","","23,643","","1,264","","12,078","","419","","10,984","","0.84","","6,031,611","","2",""
"2020100000","2020年度","04421","宮城県 大和町","","28,786","","11,441","","2,679","","901,196","","341","","22,328","","691,265","","X","","111","","33,168","","108,778","","1,198","","5,616","","1,109","","2,137","","4,651","","X","","13,317","","332","","12,109","","1.06","","7,369,129","","1",""
"2020100000","2020年度","04422","宮城県 大郷町","","7,813","","2,483","","718","","67,284","","X","","9,517","","36,006","","-","","-","","957","","11,564","","-","","415","","X","","434","","1,427","","7","","3,962","","177","","2,568","","0.47","","2,874,874","","0",""
"2020100000","2020年度","04424","宮城県 大衡村","","5,849","","1,877","","272","","491,330","","0","","10,897","","401,527","","-","","-","","18,462","","52,362","","X","","687","","X","","590","","121","","X","","1,363","","33","","3,560","","0.79","","2,344,170","","0",""
"2020100000","2020年度","04444","宮城県 色麻町","","6,698","","1,965","","7,154","","41,010","","0","","2,941","","21,879","","-","","-","","2,228","","5,235","","-","","X","","X","","318","","52","","X","","867","","6,284","","1,153","","0.30","","3,134,158","","1",""
"2020100000","2020年度","04445","宮城県 加美町","","21,943","","7,641","","2,877","","142,389","","X","","13,141","","72,022","","X","","49","","4,373","","30,391","","5,825","","X","","947","","1,009","","4,359","","668","","4,534","","991","","2,799","","0.35","","8,666,775","","0",""
"2020100000","2020年度","04501","宮城県 涌谷町","","15,388","","5,452","","2,609","","114,735","","0","","6,846","","59,980","","-","","-","","2,808","","31,254","","2,560","","1,663","","1,181","","743","","3,457","","227","","3,095","","218","","702","","0.40","","4,780,154","","3",""
"2020100000","2020年度","04505","宮城県 美里町","","23,994","","8,565","","1,227","","139,513","","0","","11,191","","47,058","","X","","59","","10,813","","51,481","","4,421","","X","","589","","802","","3,136","","87","","6,045","","750","","2,613","","0.43","","6,992,118","","2",""
"2020100000","2020年度","04581","宮城県 女川町","","6,430","","3,166","","2,829","","560,123","","X","","21,137","","14,836","","X","","X","","1,190","","14,749","","498","","1,997","","2,901","","1,109","","178","","7","","1,427","","X","","2,293","","1.04","","7,989,187","","0",""
"2020100000","2020年度","04606","宮城県 南三陸町","","12,225","","4,282","","3,498","","79,589","","0","","18,214","","25,044","","-","","-","","1,828","","22,026","","701","","685","","265","","2,228","","229","","8","","2,342","","5,376","","643","","0.32","","8,837,684","","1",""
"2020100000","2020年度","05201","秋田県 秋田市","","307,672","","136,952","","5,728","","3,612,998","","1,148","","264,468","","274,713","","96,455","","67,946","","123,079","","1,250,359","","325,157","","70,749","","55,257","","47,166","","75,372","","36,455","","807,159","","11,784","","105,733","","0.67","","65,201,135","","22",""
"2020100000","2020年度","05202","秋田県 能代市","","49,968","","21,191","","2,755","","429,206","","X","","53,039","","40,837","","112,873","","746","","X","","110,999","","16,440","","4,646","","3,223","","5,609","","13,899","","1,742","","35,167","","2,755","","7,048","","0.45","","15,427,566","","5",""
"2020100000","2020年度","05203","秋田県 横手市","","85,555","","31,109","","15,441","","569,881","","X","","58,319","","119,409","","204","","2,354","","33,001","","220,073","","43,702","","8,973","","4,461","","8,569","","14,668","","X","","40,473","","5,003","","9,357","","0.33","","29,572,060","","4",""
"2020100000","2020年度","05204","秋田県 大館市","","69,237","","28,044","","6,080","","522,271","","X","","45,953","","157,507","","814","","3,815","","15,837","","193,311","","X","","6,118","","3,358","","7,674","","15,425","","2,664","","23,431","","2,700","","18,905","","0.42","","20,775,474","","6",""
"2020100000","2020年度","05206","秋田県 男鹿市","","25,154","","10,492","","1,921","","103,486","","1,598","","25,000","","13,956","","2,639","","X","","5,593","","30,988","","X","","966","","481","","2,797","","5,492","","409","","8,663","","518","","2,982","","0.35","","10,202,488","","1",""
"2020100000","2020年度","05207","秋田県 湯沢市","","42,091","","15,685","","2,248","","219,822","","856","","24,776","","58,201","","14,697","","166","","6,105","","65,529","","9,860","","3,709","","3,737","","3,797","","5,528","","756","","16,701","","2,639","","2,765","","0.31","","15,732,856","","2",""
"2020100000","2020年度","05209","秋田県 鹿角市","","29,088","","10,978","","5,012","","163,003","","0","","24,387","","28,137","","5,072","","182","","17,396","","45,279","","8,887","","2,102","","617","","3,908","","5,342","","339","","15,843","","1,833","","3,678","","0.33","","11,063,525","","3",""
"2020100000","2020年度","05210","秋田県 由利本荘市","","74,707","","28,362","","5,864","","515,070","","3,847","","45,683","","224,048","","7,759","","751","","7,766","","118,720","","16,971","","6,164","","4,834","","7,784","","11,153","","3,203","","44,724","","3,829","","7,833","","0.34","","26,989,640","","6",""
"2020100000","2020年度","05211","秋田県 潟上市","","31,720","","12,287","","666","","122,204","","X","","14,203","","44,334","","118","","X","","2,301","","34,440","","X","","2,694","","457","","1,648","","840","","1,331","","9,978","","478","","4,782","","0.33","","9,322,722","","2",""
"2020100000","2020年度","05212","秋田県 大仙市","","77,657","","28,370","","8,592","","465,780","","2,286","","75,205","","99,149","","2,211","","1,202","","12,022","","154,343","","16,434","","7,211","","8,156","","7,424","","15,461","","2,133","","42,936","","6,964","","12,644","","0.34","","26,919,307","","6",""
"2020100000","2020年度","05213","秋田県 北秋田市","","30,198","","11,799","","7,745","","142,857","","207","","13,868","","31,084","","X","","252","","2,682","","47,828","","X","","2,422","","1,097","","1,792","","4,283","","455","","18,353","","1,667","","3,171","","0.26","","13,503,638","","2",""
"2020100000","2020年度","05214","秋田県 にかほ市","","23,435","","8,635","","978","","200,586","","X","","8,239","","134,010","","475","","215","","6,557","","31,787","","X","","342","","684","","3,920","","1,503","","385","","6,660","","674","","2,389","","0.36","","8,588,204","","2",""
"2020100000","2020年度","05215","秋田県 仙北市","","24,610","","9,252","","6,438","","96,257","","1,184","","15,823","","18,466","","X","","244","","1,609","","33,689","","X","","1,219","","2,171","","4,982","","1,367","","847","","6,169","","2,060","","1,672","","0.26","","11,698,508","","2",""
"2020100000","2020年度","05303","秋田県 小坂町","","4,780","","2,043","","6,634","","61,517","","0","","6,415","","41,083","","-","","-","","1,048","","2,810","","X","","71","","1,870","","693","","106","","35","","1,815","","X","","5,265","","0.29","","3,029,531","","0",""
"2020100000","2020年度","05327","秋田県 上小阿仁村","","2,063","","830","","208","","3,309","","0","","581","","446","","X","","-","","-","","897","","X","","0","","X","","115","","13","","-","","952","","X","","110","","0.13","","1,759,675","","0",""
"2020100000","2020年度","05346","秋田県 藤里町","","2,896","","1,126","","207","","3,935","","0","","574","","405","","-","","-","","-","","1,356","","X","","X","","2","","172","","72","","1","","923","","X","","197","","0.13","","2,284,294","","0",""
"2020100000","2020年度","05348","秋田県 三種町","","15,254","","5,740","","11,909","","43,656","","0","","12,401","","8,194","","272","","X","","1,053","","12,089","","X","","485","","66","","676","","440","","35","","6,017","","525","","869","","0.26","","6,531,995","","1",""
"2020100000","2020年度","05349","秋田県 八峰町","","6,577","","2,615","","830","","18,686","","0","","6,517","","4,204","","X","","-","","478","","4,436","","X","","268","","103","","352","","209","","X","","1,396","","285","","253","","0.17","","3,932,924","","0",""
"2020100000","2020年度","05361","秋田県 五城目町","","8,538","","3,351","","751","","30,569","","0","","2,337","","8,164","","X","","X","","260","","10,077","","546","","X","","241","","639","","1,931","","248","","2,309","","3,466","","263","","0.26","","3,519,813","","0",""
"2020100000","2020年度","05363","秋田県 八郎潟町","","5,583","","2,144","","398","","15,463","","0","","1,087","","2,428","","-","","X","","X","","4,191","","2,607","","0","","4","","317","","54","","286","","3,548","","137","","508","","0.26","","2,131,977","","1",""
"2020100000","2020年度","05366","秋田県 井川町","","4,566","","1,528","","960","","19,509","","0","","1,250","","8,785","","-","","X","","-","","5,864","","-","","X","","X","","125","","1,627","","11","","1,455","","76","","158","","0.23","","2,238,417","","0",""
"2020100000","2020年度","05368","秋田県 大潟村","","3,011","","839","","3,099","","24,364","","0","","405","","9,078","","X","","X","","-","","11,448","","X","","X","","37","","505","","278","","1,020","","765","","X","","48","","0.37","","2,124,242","","0",""
"2020100000","2020年度","05434","秋田県 美郷町","","18,613","","5,999","","1,745","","66,385","","0","","14,682","","16,812","","X","","-","","1,162","","23,270","","X","","236","","159","","683","","390","","153","","5,821","","1,565","","828","","0.25","","7,596,925","","0",""
"2020100000","2020年度","05463","秋田県 羽後町","","13,825","","4,658","","2,496","","39,744","","0","","5,803","","13,921","","-","","-","","778","","12,048","","445","","128","","79","","769","","966","","704","","2,724","","315","","1,065","","0.26","","5,190,994","","1",""
"2020100000","2020年度","05464","秋田県 東成瀬村","","2,704","","1,158","","424","","17,116","","0","","11,625","","1,576","","-","","-","","345","","1,678","","-","","X","","X","","439","","28","","-","","570","","51","","70","","0.12","","2,216,258","","0",""
"2020100000","2020年度","06201","山形県 山形市","","247,590","","102,318","","9,310","","2,816,436","","0","","224,245","","313,094","","2,781","","56,030","","77,631","","1,138,689","","283,202","","63,688","","38,957","","40,842","","50,333","","42,410","","380,367","","13,398","","90,770","","0.78","","46,915,280","","17",""
"2020100000","2020年度","06202","山形県 米沢市","","81,252","","33,095","","4,953","","1,013,963","","0","","56,639","","575,012","","2,242","","7,327","","14,956","","190,528","","30,331","","7,786","","7,861","","37,370","","17,575","","10,990","","35,272","","3,258","","16,815","","0.59","","19,235,977","","6",""
"2020100000","2020年度","06203","山形県 鶴岡市","","122,347","","45,666","","10,463","","905,537","","X","","88,162","","355,162","","X","","2,483","","21,428","","236,500","","57,277","","8,628","","9,362","","17,775","","20,220","","9,268","","47,585","","6,552","","22,570","","0.43","","37,619,348","","6",""
"2020100000","2020年度","06204","山形県 酒田市","","100,273","","39,402","","7,760","","883,813","","327","","93,773","","235,639","","43,173","","4,322","","29,559","","275,426","","47,696","","10,509","","13,831","","12,131","","19,356","","5,396","","61,454","","5,929","","25,292","","0.50","","27,846,282","","5",""
"2020100000","2020年度","06205","山形県 新庄市","","34,432","","12,857","","1,755","","262,172","","0","","25,643","","65,989","","263","","794","","10,238","","91,674","","23,928","","2,757","","3,831","","4,158","","9,196","","1,299","","13,729","","2,496","","6,178","","0.53","","9,568,138","","3",""
"2020100000","2020年度","06206","山形県 寒河江市","","40,189","","13,654","","947","","684,203","","X","","29,268","","127,087","","X","","148","","14,072","","85,392","","14,768","","3,752","","1,972","","4,508","","7,888","","1,328","","383,845","","4,605","","4,927","","0.55","","9,759,323","","2",""
"2020100000","2020年度","06207","山形県 上山市","","29,110","","10,537","","4,125","","195,221","","0","","10,486","","111,726","","X","","X","","2,207","","33,060","","8,041","","868","","1,391","","5,356","","3,136","","402","","12,978","","1,579","","3,885","","0.50","","7,983,554","","3",""
"2020100000","2020年度","06208","山形県 村山市","","22,516","","7,579","","798","","106,929","","0","","13,018","","42,069","","179","","144","","1,127","","30,993","","3,431","","779","","1,313","","1,557","","1,589","","2,094","","6,104","","856","","1,676","","0.37","","8,164,759","","0",""
"2020100000","2020年度","06209","山形県 長井市","","26,543","","9,486","","2,167","","178,147","","X","","28,648","","52,452","","X","","770","","2,221","","54,121","","12,061","","2,884","","1,087","","2,064","","4,222","","1,607","","8,883","","1,896","","4,268","","0.45","","7,965,036","","2",""
"2020100000","2020年度","06210","山形県 天童市","","62,140","","22,589","","1,651","","611,642","","0","","36,312","","202,202","","817","","224","","22,045","","215,865","","54,611","","12,693","","4,680","","14,049","","9,284","","2,538","","20,558","","6,388","","9,378","","0.71","","12,713,633","","4",""
"2020100000","2020年度","06211","山形県 東根市","","47,682","","16,573","","3,299","","617,239","","X","","20,934","","436,924","","-","","X","","7,930","","92,664","","12,069","","2,892","","2,762","","6,385","","10,045","","874","","12,655","","3,205","","6,652","","0.68","","10,814,721","","2",""
"2020100000","2020年度","06212","山形県 尾花沢市","","14,971","","4,883","","3,753","","88,008","","0","","14,016","","29,158","","-","","X","","1,478","","27,541","","X","","299","","1,235","","2,847","","2,556","","904","","5,023","","597","","1,222","","0.30","","6,892,037","","1",""
"2020100000","2020年度","06213","山形県 南陽市","","30,420","","10,760","","2,493","","173,290","","0","","17,905","","52,909","","X","","X","","4,044","","51,357","","14,846","","1,799","","1,373","","4,289","","6,017","","1,175","","12,179","","2,626","","2,450","","0.49","","7,963,449","","2",""
"2020100000","2020年度","06301","山形県 山辺町","","13,725","","4,551","","2,267","","22,897","","0","","3,668","","4,606","","-","","X","","X","","7,854","","672","","151","","203","","398","","618","","369","","3,089","","619","","401","","0.39","","3,517,241","","0",""
"2020100000","2020年度","06302","山形県 中山町","","10,746","","3,515","","1,945","","40,669","","0","","5,067","","5,780","","-","","X","","830","","21,410","","591","","756","","86","","350","","1,334","","X","","2,588","","618","","1,112","","0.38","","3,088,114","","0",""
"2020100000","2020年度","06321","山形県 河北町","","17,641","","5,929","","1,044","","87,362","","0","","19,145","","33,364","","X","","X","","3,028","","18,391","","X","","523","","337","","1,139","","1,732","","227","","6,722","","609","","1,155","","0.46","","4,652,575","","2",""
"2020100000","2020年度","06322","山形県 西川町","","4,956","","1,686","","456","","11,657","","0","","2,440","","2,894","","-","","-","","348","","3,623","","X","","X","","88","","599","","24","","4","","790","","267","","386","","0.24","","3,574,369","","1",""
"2020100000","2020年度","06323","山形県 朝日町","","6,366","","2,150","","342","","16,317","","0","","3,673","","5,561","","-","","X","","165","","3,972","","X","","74","","17","","361","","115","","-","","1,493","","311","","389","","0.21","","3,528,559","","1",""
"2020100000","2020年度","06324","山形県 大江町","","7,646","","2,543","","60","","33,986","","X","","3,379","","20,975","","-","","-","","482","","3,685","","X","","158","","32","","362","","352","","99","","2,118","","367","","741","","0.28","","3,397,229","","0",""
"2020100000","2020年度","06341","山形県 大石田町","","6,577","","2,086","","123","","21,516","","0","","3,601","","7,529","","-","","-","","673","","5,200","","X","","11","","55","","476","","268","","X","","2,700","","241","","348","","0.24","","3,092,328","","0",""
"2020100000","2020年度","06361","山形県 金山町","","5,071","","1,572","","568","","12,826","","X","","4,184","","2,771","","-","","X","","386","","3,417","","X","","0","","24","","260","","116","","5","","701","","229","","315","","0.21","","2,772,118","","0",""
"2020100000","2020年度","06362","山形県 最上町","","8,080","","2,596","","2,111","","25,073","","357","","6,382","","5,936","","X","","X","","196","","6,163","","539","","X","","358","","900","","471","","22","","1,801","","352","","1,501","","0.24","","4,082,154","","1",""
"2020100000","2020年度","06363","山形県 舟形町","","5,007","","1,580","","1,579","","15,317","","0","","3,019","","3,886","","X","","-","","X","","4,034","","-","","521","","256","","67","","426","","-","","2,118","","365","","286","","0.21","","2,802,649","","0",""
"2020100000","2020年度","06364","山形県 真室川町","","7,203","","2,320","","2,327","","20,055","","0","","3,426","","5,477","","-","","-","","X","","6,389","","X","","23","","151","","177","","677","","X","","1,861","","408","","865","","0.21","","3,873,978","","1",""
"2020100000","2020年度","06365","山形県 大蔵村","","3,028","","945","","263","","6,494","","X","","2,120","","434","","41","","-","","X","","2,308","","-","","X","","X","","595","","173","","-","","439","","221","","63","","0.16","","2,541,415","","0",""
"2020100000","2020年度","06366","山形県 鮭川村","","3,902","","1,193","","2,872","","10,296","","0","","1,633","","4,441","","-","","X","","X","","2,025","","-","","X","","50","","109","","307","","-","","719","","265","","710","","0.19","","2,408,796","","0",""
"2020100000","2020年度","06367","山形県 戸沢村","","4,199","","1,359","","423","","7,473","","0","","1,662","","1,467","","-","","-","","41","","2,433","","-","","X","","X","","279","","83","","X","","950","","299","","212","","0.17","","2,720,132","","0",""
"2020100000","2020年度","06381","山形県 高畠町","","22,463","","7,358","","1,026","","104,761","","0","","10,259","","47,231","","-","","47","","3,025","","29,429","","1,701","","2,137","","444","","1,109","","762","","758","","4,484","","685","","2,690","","0.41","","6,477,634","","1",""
"2020100000","2020年度","06382","山形県 川西町","","14,558","","4,495","","1,058","","76,133","","0","","7,878","","26,169","","-","","X","","418","","13,933","","17,122","","131","","118","","652","","1,597","","X","","6,411","","697","","829","","0.25","","6,724,063","","2",""
"2020100000","2020年度","06401","山形県 小国町","","7,107","","2,810","","777","","53,086","","X","","7,694","","35,121","","X","","X","","290","","5,618","","568","","144","","94","","543","","306","","449","","985","","299","","827","","0.27","","4,387,069","","1",""
"2020100000","2020年度","06402","山形県 白鷹町","","12,890","","4,389","","1,218","","56,061","","0","","7,016","","23,297","","-","","X","","2,743","","11,314","","X","","319","","696","","560","","240","","836","","3,280","","1,871","","3,293","","0.29","","5,153,678","","1",""
"2020100000","2020年度","06403","山形県 飯豊町","","6,613","","2,125","","929","","33,845","","0","","5,248","","21,211","","X","","-","","559","","3,882","","35","","X","","80","","646","","179","","57","","1,034","","388","","475","","0.21","","4,029,333","","0",""
"2020100000","2020年度","06426","山形県 三川町","","7,601","","2,332","","273","","96,895","","0","","7,781","","19,088","","X","","X","","3,421","","49,302","","4,143","","439","","568","","1,740","","4,538","","11","","3,892","","594","","839","","0.41","","2,713,495","","1",""
"2020100000","2020年度","06428","山形県 庄内町","","20,151","","6,650","","2,217","","77,310","","X","","7,534","","19,084","","X","","-","","2,203","","26,879","","4,413","","114","","689","","814","","1,788","","273","","9,653","","1,026","","2,444","","0.31","","7,133,364","","1",""
"2020100000","2020年度","06461","山形県 遊佐町","","13,032","","4,432","","4,058","","43,370","","X","","4,026","","14,002","","X","","-","","1,546","","15,497","","X","","269","","22","","779","","447","","199","","3,980","","664","","1,331","","0.31","","5,083,236","","1",""
"2020100000","2020年度","07201","福島県 福島市","","282,693","","121,919","","5,953","","3,501,467","","X","","X","","474,747","","2,654","","52,387","","78,212","","906,226","","294,461","","71,900","","54,210","","42,878","","65,501","","22,488","","1,071,344","","10,674","","103,613","","0.79","","54,231,911","","21",""
"2020100000","2020年度","07202","福島県 会津若松市","","117,376","","49,022","","1,953","","1,015,104","","525","","80,513","","222,137","","55,207","","14,352","","37,695","","322,357","","64,271","","23,085","","11,166","","26,373","","32,914","","12,298","","80,864","","3,918","","27,429","","0.63","","25,915,145","","7",""
"2020100000","2020年度","07203","福島県 郡山市","","327,692","","140,441","","7,872","","4,038,232","","X","","405,862","","802,524","","5,399","","42,416","","142,357","","X","","274,340","","113,241","","102,853","","53,214","","97,776","","33,142","","182,079","","11,605","","121,258","","0.85","","61,611,305","","22",""
"2020100000","2020年度","07204","福島県 いわき市","","332,931","","141,411","","18,363","","3,067,016","","4,036","","367,001","","917,065","","78,589","","12,691","","141,762","","934,024","","127,216","","60,874","","51,117","","45,489","","74,401","","17,067","","138,683","","7,036","","89,964","","0.80","","69,930,197","","26",""
"2020100000","2020年度","07205","福島県 白河市","","59,491","","23,763","","4,305","","665,367","","247","","34,970","","355,293","","100","","771","","13,636","","145,678","","30,650","","7,537","","6,199","","7,529","","9,634","","2,830","","29,808","","7,228","","13,258","","0.64","","16,529,931","","2",""
"2020100000","2020年度","07207","福島県 須賀川市","","74,992","","27,127","","1,472","","496,294","","X","","49,007","","165,300","","X","","695","","26,679","","148,041","","16,509","","6,316","","2,856","","7,893","","17,982","","3,527","","25,929","","6,956","","16,792","","0.59","","17,870,556","","6",""
"2020100000","2020年度","07208","福島県 喜多方市","","44,760","","16,049","","2,484","","206,543","","128","","19,518","","68,273","","240","","1,547","","4,198","","64,922","","10,457","","1,374","","2,057","","4,508","","4,521","","525","","17,944","","2,688","","3,645","","0.37","","15,218,567","","6",""
"2020100000","2020年度","07209","福島県 相馬市","","34,865","","13,875","","3,645","","384,245","","X","","30,563","","198,940","","17,874","","X","","7,753","","78,884","","10,764","","6,185","","1,284","","4,468","","8,468","","850","","10,322","","2,284","","5,299","","0.70","","9,645,280","","2",""
"2020100000","2020年度","07210","福島県 二本松市","","53,557","","19,384","","2,962","","388,822","","208","","38,175","","178,576","","159","","45","","15,359","","92,054","","12,097","","3,192","","2,692","","4,938","","8,263","","1,589","","17,552","","4,289","","9,636","","0.46","","16,019,501","","3",""
"2020100000","2020年度","07211","福島県 田村市","","35,169","","12,159","","2,316","","232,289","","X","","25,207","","114,035","","3,352","","X","","4,403","","54,390","","2,047","","1,319","","1,050","","1,758","","6,804","","797","","9,763","","1,970","","4,383","","0.35","","13,837,572","","1",""
"2020100000","2020年度","07212","福島県 南相馬市","","59,005","","26,349","","2,820","","553,145","","X","","88,340","","86,946","","X","","639","","23,442","","132,130","","20,618","","13,387","","10,787","","5,721","","17,772","","971","","16,985","","5,125","","22,594","","0.68","","21,653,925","","5",""
"2020100000","2020年度","07213","福島県 伊達市","","58,240","","21,158","","1,589","","319,408","","0","","27,544","","147,329","","X","","X","","14,645","","70,643","","9,588","","1,775","","1,564","","3,337","","8,915","","2,200","","21,300","","4,595","","5,900","","0.40","","16,362,263","","3",""
"2020100000","2020年度","07214","福島県 本宮市","","30,236","","10,571","","251","","484,890","","X","","27,304","","252,518","","-","","X","","48,728","","127,678","","4,977","","1,996","","1,572","","2,156","","4,752","","342","","8,198","","1,374","","3,215","","0.67","","7,824,856","","2",""
"2020100000","2020年度","07301","福島県 桑折町","","11,459","","4,194","","294","","97,882","","0","","6,303","","64,457","","-","","X","","4,021","","12,069","","X","","490","","194","","1,711","","811","","60","","2,798","","858","","3,013","","0.46","","3,437,230","","0",""
"2020100000","2020年度","07303","福島県 国見町","","8,639","","3,123","","648","","37,073","","0","","2,660","","11,839","","X","","X","","2,722","","10,729","","X","","609","","66","","640","","375","","3","","1,605","","1,788","","3,485","","0.33","","3,450,461","","1",""
"2020100000","2020年度","07308","福島県 川俣町","","12,170","","4,780","","4,035","","66,767","","X","","9,165","","26,895","","X","","X","","513","","17,241","","3,087","","854","","109","","751","","390","","40","","4,989","","879","","1,443","","0.38","","4,404,458","","1",""
"2020100000","2020年度","07322","福島県 大玉村","","8,900","","2,874","","1,112","","38,412","","0","","3,944","","11,234","","-","","X","","3,689","","13,427","","-","","X","","264","","361","","74","","596","","2,747","","732","","1,318","","0.38","","2,915,598","","0",""
"2020100000","2020年度","07342","福島県 鏡石町","","12,318","","4,382","","X","","X","","0","","4,373","","64,201","","X","","-","","2,928","","20,695","","351","","158","","114","","658","","578","","848","","2,175","","1,158","","1,521","","0.62","","2,990,192","","0",""
"2020100000","2020年度","07344","福島県 天栄村","","5,194","","1,671","","1,198","","22,399","","X","","4,723","","8,378","","-","","X","","1,212","","2,519","","-","","137","","0","","1,327","","16","","474","","1,691","","943","","811","","0.34","","2,691,160","","0",""
"2020100000","2020年度","07362","福島県 下郷町","","5,264","","1,953","","236","","252,479","","X","","7,777","","5,498","","X","","X","","41","","3,591","","73","","87","","1,644","","1,222","","123","","23","","998","","317","","340","","0.38","","3,071,512","","0",""
