"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","01207","北海道 帯広市","","166,536","","80,175","","18,217","","1,728,299","","388","","195,664","","140,877","","18,000","","12,900","","49,333","","809,452","","142,721","","40,900","","31,343","","33,191","","61,934","","10,983","","120,135","","5,099","","55,379","","0.61","","37,489,681","","18",""
"2020100000","2020年度","01208","北海道 北見市","","115,480","","55,188","","17,745","","922,754","","587","","105,814","","68,454","","48,709","","6,565","","31,706","","403,250","","76,130","","20,691","","11,209","","15,730","","21,819","","9,924","","66,947","","8,448","","26,773","","0.45","","33,824,525","","14",""
"2020100000","2020年度","01209","北海道 夕張市","","7,334","","3,807","","149","","24,108","","0","","3,700","","5,802","","X","","X","","587","","6,683","","651","","62","","188","","584","","630","","21","","2,593","","1,382","","1,041","","0.21","","5,862,162","","0",""
"2020100000","2020年度","01210","北海道 岩見沢市","","79,306","","35,584","","8,396","","531,152","","0","","51,252","","95,055","","10,484","","1,985","","29,651","","192,648","","36,390","","16,960","","8,305","","6,807","","13,983","","2,737","","37,146","","13,255","","14,494","","0.38","","24,047,836","","8",""
"2020100000","2020年度","01211","北海道 網走市","","35,759","","17,253","","11,382","","229,091","","X","","21,431","","56,438","","X","","763","","7,162","","72,285","","12,680","","3,216","","4,154","","6,428","","7,619","","5,394","","17,449","","6,739","","4,569","","0.44","","11,460,060","","4",""
"2020100000","2020年度","01212","北海道 留萌市","","20,114","","9,816","","934","","133,441","","X","","28,440","","X","","3,741","","474","","8,519","","48,616","","7,322","","3,011","","1,557","","1,935","","5,987","","324","","7,610","","1,485","","4,895","","0.33","","7,639,860","","3",""
"2020100000","2020年度","01213","北海道 苫小牧市","","170,113","","80,130","","2,070","","2,536,649","","9,136","","189,015","","1,022,622","","30,616","","6,133","","218,411","","609,195","","87,113","","40,710","","28,510","","25,543","","122,386","","8,957","","73,920","","8,987","","55,396","","0.79","","35,602,228","","13",""
"2020100000","2020年度","01214","北海道 稚内市","","33,563","","16,060","","8,237","","288,814","","484","","40,951","","53,570","","4,475","","1,109","","10,398","","112,620","","20,470","","5,233","","2,145","","5,137","","10,902","","986","","7,762","","5,063","","7,510","","0.39","","12,690,819","","3",""
"2020100000","2020年度","01215","北海道 美唄市","","20,413","","9,434","","1,637","","90,582","","2,578","","17,784","","13,496","","-","","480","","5,203","","25,631","","1,390","","1,353","","537","","2,570","","2,947","","249","","10,560","","4,283","","1,522","","0.27","","8,986,868","","3",""
"2020100000","2020年度","01216","北海道 芦別市","","12,555","","6,055","","1,611","","47,646","","X","","4,711","","16,065","","X","","X","","1,408","","12,039","","2,280","","267","","98","","555","","1,617","","311","","4,117","","916","","1,496","","0.26","","6,285,360","","3",""
"2020100000","2020年度","01217","北海道 江別市","","121,056","","53,977","","4,223","","478,507","","0","","42,027","","94,140","","10,214","","5,437","","28,933","","167,055","","12,367","","9,672","","5,083","","9,007","","15,989","","23,225","","35,684","","3,233","","16,441","","0.56","","23,252,829","","6",""
"2020100000","2020年度","01218","北海道 赤平市","","9,698","","4,494","","659","","51,981","","X","","8,168","","18,948","","-","","X","","1,467","","12,366","","783","","236","","56","","274","","2,478","","X","","5,860","","388","","759","","0.20","","5,352,782","","2",""
