year_code,year,cd_area,area_name,A1101_総人口【人】,A7101_世帯数【世帯】,C610101_売上金額（民営）（農林漁業）【百万円】,C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】,C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】,C610106_売上金額（民営）（建設業）【百万円】,C610107_売上金額（民営）（製造業）【百万円】,C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】,C610109_売上金額（民営）（情報通信業）【百万円】,C610110_売上金額（民営）（運輸業、郵便業）【百万円】,C610111_売上金額（民営）（卸売業、小売業）【百万円】,C610114_売上金額（民営）（金融業、保険業）【百万円】,C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】,C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】,C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】,C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】,C610119_売上金額（民営）（教育、学習支援業）【百万円】,C610120_売上金額（民営）（医療、福祉）【百万円】,C610121_売上金額（民営）（複合サービス事業）【百万円】,C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】,D2201_財政力指数（市町村財政）【‐】,D2209_一般財源（市町村財政）【千円】,I5101_病院数【施設】
2020100000,2020年度,01225,北海道 滝川市,39490,18688,3012,232517,,36772,10498,,626,9612,104419,17433,4964,2362,4567,9183,2013,17808,2998,4958,0.41,11334768,5
2020100000,2020年度,01226,北海道 砂川市,16486,7599,601,199962,,15377,23362,71980,,5819,58619,1250,1611,486,1286,6564,235,5107,1109,7103,0.32,7231682,2
2020100000,2020年度,01227,北海道 歌志内市,2989,1424,0,11151,,1612,491,,,676,4807,122,,0,104,273,,1176,82,995,0.11,2774494,1
2020100000,2020年度,01228,北海道 深川市,20039,9198,5522,99265,,13011,,2169,94,2700,41773,6100,1719,3164,2006,4057,1938,9619,1466,3688,0.27,9086571,5
2020100000,2020年度,01229,北海道 富良野市,21131,9538,5658,127046,,20030,,3033,112,6536,48453,6309,2126,670,5440,2245,1243,13032,7152,2983,0.37,7750043,3
2020100000,2020年度,01230,北海道 登別市,46391,20928,3831,169695,0,24415,,,183,6667,69130,2106,3971,809,12750,3809,2880,17199,1221,6544,0.47,10929306,6
2020100000,2020年度,01231,北海道 恵庭市,70331,30276,3003,414296,,38911,,85,168,26056,112949,10072,6212,6319,5916,11771,8693,30462,1902,7869,0.61,13884333,7
2020100000,2020年度,01233,北海道 伊達市,32826,14844,7444,200453,0,18574,22286,48017,182,3241,48981,9831,3490,2289,6475,7581,306,23385,2668,3147,0.39,10724035,3
2020100000,2020年度,01234,北海道 北広島市,58171,24640,3825,515890,,28868,,3,197,76452,236427,6935,14821,1825,3195,13488,4934,20252,1267,15445,0.65,12522539,5
2020100000,2020年度,01235,北海道 石狩市,56869,23102,3807,557297,,38139,,258,2177,84085,188609,2865,9642,31544,2961,10140,3454,18915,2906,14303,0.53,16302323,5
2020100000,2020年度,01236,北海道 北斗市,44302,18337,3696,306064,3630,32653,72372,,,21496,119956,5661,5473,3680,3747,6092,1097,16901,3613,9568,0.48,11456463,0
2020100000,2020年度,01303,北海道 当別町,15916,7281,4157,95054,0,11827,,,20,2170,29726,1695,1161,527,1154,2223,7919,4840,331,1155,0.38,5637778,0
2020100000,2020年度,01304,北海道 新篠津村,3044,1051,1189,10160,0,2444,164,,,493,3588,,,0,137,125,,1609,,73,0.21,1996809,0
2020100000,2020年度,01331,北海道 松前町,6260,3196,510,28338,0,3053,,,,226,6987,763,7377,,242,930,144,1346,231,447,0.19,3701027,1
2020100000,2020年度,01332,北海道 福島町,3794,1861,679,14202,0,3008,4040,,,25,3319,,39,131,83,285,32,619,112,501,0.23,2525085,0
2020100000,2020年度,01333,北海道 知内町,4167,1868,1359,81448,0,2485,5017,64752,,100,4366,357,358,,336,231,,474,1901,1054,0.28,2647805,0
